Application order,Previous qualification (grade),Admission grade,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Marital status_2,Marital status_4,Marital status_5,Marital status_others,Application mode_17,Application mode_39,Application mode_others,Course_9238,Course_9500,Course_others,Daytime/evening attendance_1,Previous qualification_3,Previous qualification_19,Previous qualification_39,Previous qualification_others,Nacionality_6,Nacionality_26,Nacionality_41,Nacionality_others,Mother's qualification_19,Mother's qualification_37,Mother's qualification_38,Mother's qualification_others,Father's qualification_19,Father's qualification_37,Father's qualification_38,Father's qualification_others,Mother's occupation_4,Mother's occupation_5,Mother's occupation_9,Mother's occupation_others,Father's occupation_5,Father's occupation_7,Father's occupation_9,Father's occupation_others,Displaced_1,Educational special needs_1,Debtor_1,Tuition fees up to date_1,Gender_1,Scholarship holder_1,International_1
1,0.368421052631579,0.368421052631579,0.3396226415094339,0.0,0.1923076923076923,0.1111111111111111,0.0,0.0,0.0,0.0,0.217391304347826,0.1515151515151515,0.0,0.0,0.0,0.4069767441860464,0.3111111111111111,0.8031704095112285,1,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
1,0.368421052631579,0.1578947368421053,0.1509433962264151,0.0,0.2307692307692307,0.2888888888888889,0.1153846153846153,0.6181015452538631,0.0,0.0,0.2608695652173913,0.4242424242424242,0.1,0.6102564102564102,0.0,0.4069767441860464,0.3111111111111111,0.8031704095112285,0,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
6,0.2526315789473683,0.2968421052631578,0.0943396226415094,0.0,0.2307692307692307,0.1333333333333333,0.2307692307692307,0.7505518763796909,0.0,0.0,0.2608695652173913,0.2424242424242424,0.3,0.7336538461538461,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957,0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False
1,0.4010526315789473,0.0894736842105263,0.4716981132075471,0.0,0.2307692307692307,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.9186046511627908,0.7999999999999999,0.0,1,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
3,0.4947368421052631,0.445263157894737,0.0943396226415094,0.0,0.2692307692307693,0.1555555555555555,0.2307692307692307,0.7364238410596027,0.0,0.0,0.3043478260869565,0.2121212121212121,0.3,0.7484615384615384,0.0,0.0,0.7555555555555555,0.5785997357992074,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
1,0.4736842105263157,0.4736842105263157,0.0754716981132075,0.1,0.2307692307692307,0.2,0.2307692307692307,0.6963103122043519,0.0,0.0,0.2608695652173913,0.2727272727272727,0.3,0.655128205128205,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,0,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,0.2105263157894736,0.2252631578947368,0.0754716981132075,0.0,0.2307692307692307,0.2,0.2307692307692307,0.6026490066225165,0.0,0.0,0.2608695652173913,0.2727272727272727,0.3,0.7153846153846154,0.0,1.0,0.2444444444444444,0.4147952443857331,0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False
1,0.3789473684210527,0.3021052631578946,0.0566037735849056,0.0,0.1923076923076923,0.1555555555555555,0.1538461538461538,0.6357615894039735,0.0,0.0,0.217391304347826,0.2424242424242424,0.1,0.673076923076923,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957,0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False
1,0.4736842105263157,0.4736842105263157,0.169811320754717,0.0,0.1923076923076923,0.2,0.0,0.0,0.0,0.0,0.217391304347826,0.303030303030303,0.0,0.0,0.0,0.2093023255813954,0.0,0.1241743725231175,1,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,0.6842105263157894,0.4894736842105263,0.0188679245283018,0.0,0.1923076923076923,0.2222222222222222,0.1153846153846153,0.565121412803532,0.0833333333333333,0.0,0.217391304347826,0.3333333333333333,0.1,0.673076923076923,0.0,0.2093023255813954,0.0,0.1241743725231175,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False
1,0.2842105263157894,0.3357894736842106,0.0754716981132075,0.0,0.2307692307692307,0.1777777777777777,0.2307692307692307,0.6206244087038789,0.0,0.0,0.2608695652173913,0.2121212121212121,0.3,0.6461538461538461,0.0,0.0,0.7555555555555555,0.5785997357992074,0,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1,0.3263157894736841,0.2084210526315788,0.0566037735849056,0.0,0.3076923076923077,0.1777777777777777,0.2692307692307693,0.7630652790917691,0.0,0.0,0.3478260869565217,0.2424242424242424,0.35,0.7755384615384614,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957,0,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False
